well,block,test_temperature,strain,evolution_history,window_idx,days_start,days_end,mu,r_squared,window_size
b9,3,35,40_C5,40 evolved,25,0.25,0.2916666666666667,11.755543513006213,0.9999338129612075,5
b9,3,38,40_C5,40 evolved,23,0.22916666666666663,0.2708333333333333,12.501147606152132,0.999876147739906,5
b9,3,41,40_C5,40 evolved,31,0.3125,0.3541666666666667,8.56525977812997,0.9999520903559305,5
b9,3,42,40_C5,40 evolved,27,0.2708333333333333,0.3125,3.660302710968193,0.9993856026104772,5
c10,1,25,35_B8,35 evolved,36,0.3645833333333333,0.40625,8.490038055442371,0.9997355677248537,5
c10,1,35,35_B8,35 evolved,21,0.20833333333333337,0.25,12.865233644660986,0.9998991497555343,5
c10,1,38,35_B8,35 evolved,21,0.20833333333333337,0.25,13.75587979833634,0.9999314682355055,5
c10,1,41,35_B8,35 evolved,57,0.5833333333333334,0.625,10.867491983586604,0.8349480897528293,5
c10,1,42,35_B8,35 evolved,23,0.22916666666666663,0.2708333333333333,4.036472974313701,0.999662653296854,5
c11,1,25,WT_CASP_1,Caspofungin evolved,35,0.3541666666666667,0.3958333333333333,8.128340626609614,0.9998958906329225,5
c11,1,35,WT_CASP_1,Caspofungin evolved,23,0.22916666666666663,0.2708333333333333,13.989032648514236,0.9999589862477031,5
c11,1,38,WT_CASP_1,Caspofungin evolved,20,0.19791666666666663,0.23958333333333337,14.788936902029437,0.9999904278309392,5
c11,1,41,WT_CASP_1,Caspofungin evolved,32,0.3229166666666667,0.3645833333333333,7.523784788901775,0.9996624870801274,5
c11,1,42,WT_CASP_1,Caspofungin evolved,22,0.21875,0.2604166666666667,3.003308940657415,0.9989683415743271,5
c11,2,25,35_C7,35 evolved,37,0.375,0.4166666666666667,8.283064271307634,0.999620302329026,5
c11,2,35,35_C7,35 evolved,23,0.22916666666666663,0.2708333333333333,13.098639991319494,0.99993449018811,5
c11,2,38,35_C7,35 evolved,22,0.21875,0.2604166666666667,14.028917355447971,0.9998681989818953,5
