time,well,OD,treatment,test_temperature
64603.4,G5,0.050999999046325684,water,41
64603.4,G6,0.05040000006556511,water,41
64603.4,G7,0.05050000175833702,water,41
64603.4,G8,0.05130000039935112,water,41
64603.4,G9,0.052400000393390656,water,41
64603.4,G10,0.052799999713897705,water,41
64603.4,G11,0.05139999836683273,water,41
64603.4,G12,0.05180000141263008,water,41
64603.4,H1,0.05310000106692314,water,41
64603.4,H2,0.05220000073313713,water,41
65582.3,A1,0.10029999911785126,fRS585,41
65582.3,A2,0.09399999678134918,fRS585,41
65582.3,A3,0.08889999985694885,fRS585,41
65582.3,A4,0.09130000323057175,fRS585,41
65582.3,A5,0.08810000121593475,fRS585,41
65582.3,A6,0.08659999817609787,fRS585,41
65582.3,A7,0.08730000257492065,fRS585,41
65582.3,A8,0.08990000188350677,fRS585,41
65582.3,A9,0.09009999781847,fRS585,41
65582.3,A10,0.09830000251531601,fRS585,41
65582.3,A11,0.09690000116825104,fRS585,41
65582.3,A12,0.11980000138282776,fRS585,41
65582.3,B1,0.06769999861717224,blank,41
65582.3,B2,0.06930000334978104,blank,41
65582.3,B3,0.0714000016450882,blank,41
65582.3,B4,0.06970000267028809,blank,41
65582.3,B5,0.07129999995231628,blank,41
65582.3,B6,0.07150000333786011,blank,41
65582.3,B7,0.06840000301599503,blank,41
65582.3,B8,0.06870000064373016,blank,41
65582.3,B9,0.06889999657869339,blank,41
65582.3,B10,0.06589999794960022,blank,41
